review,sentiment
"good quality items pero yung mga box lukot lukot na nung nareceive ko. twice akong nagorder before ko natanggap mga items, nagfail yung first order and sinabi lang nung pang 8 day na, i don't know the exact reason till now di pa nagrereply si seller.",4
okay ganda ng quality l mabilis dumating love it much thanks seller,3
"medyo di lang satisfied kase di sya ganon kaliwanag tulad ng ineexpect ko. yung color temperature di rin gumagana. kapag pinipindot ko yung button para maswitch yung color temperature, namamatay yung ilaw.",4
complete naman ang items as ordered worth the quality as per price ... mainit nga lang ung tela pag sinuot kahit medyo manipis,4
thank you kumpleto at maganda lahat wala din kulang sa order sana makaordrr ulit ako sa sunod ibang kulay naman ng mga ipit,3
okey na din kaso yung blue madali malobat..pero okey na din..thank you,4
"10 pang 2nd time kuna mg order dito sa shoppe na ito ligit, tas ang bango tlga nito.. i ordered again pag ma ubos na to..",3
"pwede ba 0 star? 10 meters inorder ko, pero 5meters lang pinadala ni seller hanggang sa nag auto received na lang. chat ako ng chat sa seller walang update. hindi nya nirefund pera ko kahit nagrequest ako! ang bobo! nakakadismaya. 1st time buyer ko pa naman sa shop na to",1
ang bilis dumating. inorder ko nung 9.9 nakalagag dun pre-order at delivered on oct. diko inexpect na ganun kabilis. functioning well. i hope magtagal at effective ito.,3
in less than a month nasira na siya. sayang yung pera,1
"ang ganda po ng pants hindi siya makapal hindi din manipis sakto lang ung tela malambot at komportable isuot..thanks po seller,shoppee and kuya na nagdeliver.",3
"the aqua room here is very nice. the kids loved it. the only thing i don't like here is the shop close too early. 7pm pa lang ata sarado na ang mga food stall, 2 restau. na lang s baba ang open. and other than ocean park wala na rin",4
"ok na ok yung item, oorder ako ulit. ang bilis din dumating at maayos ang packaging. thank you seller sa uulitin po",3
not bad nayupi ung box at wala sya bubble wrap buti nalang hindi nabasag yung salamin. .hindi din sya anti blue light at hindi masyado nagblablack sa araw. .para lng syang ordinary lens na may kulay konti. .pero na din para sa price nya. .salamat seller pa rin,4
ang ganda ng pakabalot niyo nuh.di ko alam kung nagtitipid kayo sa scatch tape .naka bubble wrap nga di naman naka scatch tape buti nalang di sira.,4
you will pay properly thru shopee pay not cod but they will not send properly the products. hindi sinend ang tamang items at kulang. sa iba nalang kayo bumilo tuloy yung tinda naman nila meron din sa iba. worth it pa. wala kwenta store at walang customer service. sa iba,1
very good ang ganda thank you,3
good condition yung item. super cute and nice. gumagana naman siya mukang na charge .. super lakas ng hangin mejo maingay lang pero okay lang basta gumagana naman. nd pwede din sya lagyan ng battery. and ying light nya ang cute hehe.. thank you!!,4
10 sobrang bango huhu need to buy again cuz i just dropped it,3
10/10 super cute unexpected din po may mga stickers at kung ano ano pang ka cute an buy ako ulit para naman sa dalawa kong babies hahah ito samen to nang panganay ko tig isa kame thank you seller thank you shopee sobrang bilis din nakarating sakin ung order ko,3
5 panget ng store na to tatlo order ko pero dalawa lng pina dala tapos wrong color pa . sana naman na check nyo mona bago ipa deliver or baka alam nyo na dalawa lng talaga pinadala nyo! nag message ako sa inyo pero d naman pina pansin.,1
salamat seller. sori sa pic. tinamad nko kunin sa baba. maganda pero ndi ko pa xa natry... edit ko na lang review ko pag na try ko na. salamat again.,3
thank you. ganda ng quality at murang mura nakuha ko sya ng sale at free shipping. maraming salamat po sa shop na ito. order again soon,3
maganda ang item at sulit. salamat seller,3
maganda ung tela nung jogging pants. makapal. ok din ang tahi. maayos sya. sakto lng din sya sakin! will order again next sale. thank you seller!,3
mali ang product na binigay!!!! i ordered intelligent sweeping robot pero ang dumating air humidifier na maliit!! nakakainis sobrang hassle!!!,1
bakit ganun walang kasama spatula. tapos mali pa yun color na pinadeliver. sana nxt time pag out stock yun order ko po wag ng deliver kung wala. tnx,1
"ayoko sa ganitong store dalawang besis ako mag order yung una mdyo ok2x sana pngalawa kung order.kulang ang parcel at ang hirap pa ma contact ng seller, talagang inaanu nila ang mag rply cla.sayo.kung ilang araw na.ang order sayo bago magrply...1star for me...nakaka disapointed ganitong store...hndi na ako uulit",1
"honest review, di po siya nakapit masyado sa eyelash at ang tagal pating matuyo di ko po nagustuhan and didn't also have high expectation since mura lang siya. triny ko lang kung effective kayo ko binili",4
ok pink ung galing sa shop na ito .ung 3 sa ibang shop.lahta sila ok naman maganda.,3
ok po sana. kaso hindi po stretchable. kaya hindi kasya yung biggest size nila.,4
ok nmn xa pero black ang order q..blue ang dumating..,4
"well packed nman sya kaso di sukat yung mga butas sa stove nmen, ginawan ko nlang ng paraan para magamit.",4
i bought it for my friend kaya di ako napag pic pero na try ko sya at super smooth sya gamitin. i recommend it sa mga digital artist talaga,3
"sorry for the late rating .the wire less headset is working well ,sound's good kaso mabilis malowbat i think 1 to 2 hrs then you have to charge it again .recommended",4
kinabit na 3 days ago..2 days gumana ng maayos pero last night hndi na cya lumalamig..hanggang 26 na lng cya..hndi na umaakyat pa .. i thought it was good buy because its cheap and nice looking but now im disappointed kasi hndi na cya lumalamig..wala man man kahit 1 week,1
kulang yung item na pinadala sakin. wala ung toothbrush sterilizer. i was about to message the seller pero pag view ko ng profile niya there is no chat button. i found a way to message her pero wala silang sagot kahit isa.,1
not good umusok agad sya pagka gamit ko natakot ako kala ko puputok makikita nyo sa likod natunay yung plaatic nya kasi umusok talaga sya isang araw palang ganon na nangyare di ko manlang nagakit same na araw nung natabggap ko pag open ko umusok na sayang pera ko huhu,1
maganda sana kaso durog yung high lighter kainis,4
oil base siya pero hindi sticky super bait ng seller as in! pangalawa ko tong order. nabasag yung una kong nabili kase tanga tanga ako tas need ko ng perfume kase mag tatravel kami and agad na ship ni seller yung order koooo. basta bilhin mo nalang mars worth it,3
good goods nman sya.. kaso maliit na order q hehe..,4
"food is awesome! lahat masarap, walang tapon! super bait din ng mga staff and lahat ng requests niyo iaaccomodate nila sa abot ng makakaya nilaaaaa. sobrang accomodating nila, sila pa magiinsist na sila na lang mag-take ng pictures niyo. ",3
nakakadismaya lang po na hindi ko natanggap ang item na to..wla po xa sa list of orders ko.,1
"okay lang manipis yung wire niya, no doubt sa price.",4
"very nicee maganda quality niya kaso mali lang yung size nung isang item, order ko medium kasi yung isa large",4
"quite disappointed with the colors.. di siya same sa photos, as in big difference and sobrang light basta iba consistency. only this color is ok for me.",1
"well packaged item shipped immediately will order again malambot naman, mukha rin mejo madali masira pero okay lang mura naman pwede na rin pang alis alis",4
good no damage naman lahat yung payong na naorder q 4pcs lahat xa 3 pcs na lng na pic q.nabenta q na kc isa...tama lahat ng color.mukhang matibay xa maganda ang quality ng payong..order po ulit ako sa shop na ito.thank you seller ang kuya rider,3
masarap yung pares with tendon!,3
five sana kaso may mga napunit n parte dahil sa hindi magandang pg handle siguro ng parcel but il ove the color though..,4
oks sya mabilis madeliver yupe lang yung karton ng phone,4
"so-so. parang dati cafe by the ruins is a go to for me when going up to baguio but now ang dami mo na better options na feel ko mas worth the time, effort, and money. not a bad experience but not really a wow experience for me. …",4
okay naman siya. well-packaged. may concern lang ako. may key po kasi na medyo off pag pinipindot. i can't say that the key is damaged but more on may defect medyo bothering pag pinipindot. i tried to message you pero no reply.,4
"maganda cia at sobrang lambot sa paa pang lakad,at ang bilis ng pg deliver thank u sa seller at rider...",3
good good naman sya... problem lang may mga sira... good ang ung item well pack... kaso nung ginamit ko na sya napansin ko di umiilaw ung led... and ang bilis nya mag off.... bumili na din kasi ako dati ng humidifier pero di naman ganito ka bilis ung pag off,1
di insakto ang binigay clear black inorder ko pero iba binigay pero worth it parin sa price,4
comfy yung tela nde cya mainit. sakto lang yung kapal.. maganda yung fit. we'll surely order again. thanks seller and shopee,3
"products were delivered right away. however, they are a bit dirty though. okay naman yung quality since super affordable.",4
"101/10 maganda, super ganda wala na akong masabi. order again next time para pang gift naman sa mga prend kong di nag mmake up.",3
maganda siya sakto size sakin. complete order na dumating sakto din color na dumating. thank you,3
maganda namn po di mainit sa katawan kaya lang block order ko dark blue dumating pero ok nrin po maganda nmn po,4
dabest talaga tong sandal na ito super nice sya sa paa nakakaputi sa paa yung beige na kulay salamat ng marami seller hehehe,3
akala ko yung nasa picture ng item is same as the actual product. maliit sya sa personal and yung strap nya hindi maayos pagkalagay hahaha,4
wrong item i order 2l pero an ibinigay 1. 1l lng at ibang design din!! please make sure na tama ang ibinibigay niyo na item sa mga customer niyo. nakadismaya talaga!!,1
"ka dismaya naman hinaloan ng isang pang girl yellow flowers pa, sabi ko pang boys eh ramdoms for boykainis kayo",1
pang second purchase ko na ito and still i’m satisfied. sana magkaron ulit ng stock yun size 32. super like ko yun bra lalo na wireless sya.,3
i felt a bit disappointed kasi hindi ganun kalakas suction nya. ilan balik bago makuha hair strands.,1
ang cute ng mga sticker sobrang nagustuhan ko din ung water bottle wala nman syang amoy plastic sa loob,3
"0 pinadalhan ako ng defective na unit. ilang araw kami nagtry mag troubleshoot. bumili pa ako ng bagong sim card. wala din. since nakailang araw, di na marefund. tapon pera to. not recommended!!",1
my family and i had a great stay here. kudos to all the staff who attended all of our needs. maraming salamat sa inyo. see you again next time.,3
tama po lahat ng pinadala nila. trusted na talaga ko sa shop na to ang ganda ng tela ng dress malambot siya nagustuhan ni buyer thank you will order again po,3
terribly poor to the poorest ni hindi man lang magcomply ng maayos.puro automatic mes. ang sinesend. hindi nman ganun kamahalan pero pera parin un na nasayang.malamang marami ng nascam ang seller na to kaya hindi na xah nagrereply ng maayos.,1
"ganda naman,sakto na din naman sakit dahil di naman kasi ako masyadong blessed oorder ulit ako,sulit na sa price,salamat shopee",3
sira lahat ng power button also ayaw mgcharge! sayang pera,1
maganda nman siya at okay nman ung quality nia.... thank you seller,3
low quality hindi naman photochromic yung eye glass . sobrang low quality ... di na ako uulit sa store na ito ... plastic lang ata yung glass ...baliktad pa pagka install ... not again ...,1
"rubber siya, maganda naman maganda naman po. sakto lang sakin yung size but medyo maluwang lang iyong mga string sa harap hehe. btw, stan ikon!!!",4
rubber maganda...ang cucute thankyou seller pinagbyan mo q sa tamang size at clor...thankyou...thankyou...shoppee at kua rider salmt...,3
satisfied customer....tuwang tuwa mga anak ko po,3
thanks seller recieve kuna sakto lang yung size 38 dapat tlga plus 1 pag nag oorder,2
okay na sana for its price kaso why naman sira yung isang side. hayyy magagamit pa naman kaso alam mong hindi mag tatagal,4
8/10 mabilis sana dumating.. pero wrong item yung pinadala 2liters order ko at yung design malayong malayo sa order ko. maiintindihan ko nmn kung wala na clang stock or what ang reason bkt yun ang pinadala. pero hindi manlang nag msge si seller na iba ipapadala at hindi manlng nagrereply,1
caster oil lang dumating. walang lip therapy. kula g yung item tapos di pa nagrereply si seller,1
subper ganada thank you seller matagal ngalng dumating but worth it i really like this super di cya na tatangal ang ganda pa ng kulay . thank you thnk you po,3
thank you seller dumating na order ko maganda siya sakto lang ang sukat sakin medyo makapal din tela niya,3
sa caption nakalagay samsung pero sa actual di po. kapag samsung kasi may label yan sa gadget mismo. legit ang storage nya. yung pen ay di mataas tulad ng sa first picture nya na mataas pero nagagamit parin naman. kompleto din walang kulang. kapag naka charge di sya pwedeng gamitin,2
expectation vs. reality ibalik nyo ung excess pera namin pitong 2liters order ko tapos pitong 1100ml lang??? assorted color order tapos dumating dlwang color lang na iba pa ang design??? ayusin nyo sana ung pagpapack nyo icheck nyo naman po sana bago ipadala. sayang lang pera e. ,1
after 20 ddays dumating din!!! mas daig pa ang overseas sa tagal ng ship out..,1
"yung isa maayos pero yung right side hinde. nagfafade na yung tatak nung right tapos nilagyan pa ng permanent marker kase may sira siguro, malakilaki den saken",4
maganda nmn xa kaso sira na pag deliver saken bad for you seller labas na pinaka loob nung parcel hindi tlga ako makapaniwala na sira xa pero yung isa nagana,4
ayos dito ang ganda nya talaga di ako nagkamali ordering para sa anak ko bunso.thank u seller and riders,3
"poor handling, average quality. delivered 2 days earlier than the delivery day. product has so many dents as you can see in the video. either it was transported poorly or not packed properly. but for me both reason since hindi nagawang protektahan ng styro ung body ng air purifier.",1
good for gaming but when you play a online games nahhh its delay,4
"2nd time buying and i really love the quality. super durable nya lalo pag windy days. malaki rin sya, kaya natatakpan nya ako pati yung masama kong ugali. satisfied customer. will surely buy again next time. nawala kasi yung 1st na binili ko kainis grrr. anyway, thanks mwa",3
ok a parcel everyday keep the sadness away a parcel everyday keep the sadness away yay !!! more budol in 2022 !!!,3
thank you seller.. thank you shopee.. thank you j&t.. madaling kausap si seller..,3
"so far so good naman, lagi akong na order dito sa seller nato lalo na pagdating sa mga mask kasi lowest price and sulit na sulit talaga- medyo nanipisan lang ako this time sa dumating na mask, pero ok lang for the price of 15 pesos, hair clip di nakaayos",4
disappointed..ang panget niya..may damage pa..parang isang suotan mo lang..size 40 order ko pero lampas na lampas paa ko .prang size 7 lang..waste of money .,1
panget dito bumili pinapalitan yong order mo talaga kainis ng shop nato masyadong scam,1
i super love this!! akala ko di siya magkakasya kasi mukhang maliit pero omg sobrang stretch and body hugging. para akong pumayat talaga sobrang helpful lalo na sa mga body hugging na mga dress i love it thank you!!!,3
okay lng sya for the price.,4
maganda quality. well packed at mabilis na deliver.,3
maganda naman yong items kaya nga lang kulang yong ipondala sakin ihhh exited pa naman akoo sa order ko,4
2nd order ko na sa thru grab 2nd time ko nadin na experience na kulang ang binigay nila sa order ko. kakadismaya lang.,1
"sira yung binigay, pangit pa ng packaging. 100% not recommended, sabi ng seller may pipick up daw sa item para plitan sana pero until now wala, hindi din nagrereply ang seller kung d mo pa kukulitin. very disappointing!",1
"it's ok ok naman say mabilis lang masira ang switch...malakas ang smoke...nice, useful",4
i ordered 2pcs f21 sando 1square pants and 1 h&m leggings pero walang nakarating na leggings sakin ang nakarating sakin tatlong sando at isang square pants lang maganda naman yung item kaso dapat bago niyo ipadala double check sa order at item .,4
"ok namannnn yung product , wala lang syang jelly jelly something katulad ng unang order ko at di umiilaw yung kalahati kung di pa pipisilin hahahahahhahaa",4
"nice thumbs up kay seller, ok lahat ng umbrella, lahat working and no damages.. super nice, umabot pa delivery before christmas.. perfect pang gift sa mga kapatid at friends ko.. must order again in this shop.",3
"oks yung item, nadeliver agad. true to word na makapal yung tela kaya lang mas maganda pala kung mas malaking size nabili ko para mas baggy tingnan",3
"100 okay naman yung item. it served its purpose. no damage, fast shipping, and well packaged naman. will surely order again",3
grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas ,1
"10/10 plug and play lang siya, medyo nakakatakot lang tanggalin cover ng filter kasi ang fragile nung plastic parang madali maputol yung lock. overall okay naman siya, hindi lang eng yung remote so itest niyo nalang lahat ng buttons hanggang makabisado. update ko if may effect/changes sa ar ng gf",3
not happy and not satisfied with the product. not worth the price. full charge naman pero sobrang hina ng hangin. nasa pinaka malakas na sya pero mahina pa din. ang mahal pa naman. sayang lang pera.,1
malabo .. wala pong kwenta ang daming scratches yung lense .. hayss sayang pera.. sana naman. please lang find another shop nalang kasi ang daming scratches yung kanila,1
okay po yung mga ipit yung mask lang po sobrang nipis po pala. pero thank you po..,4
"ayos nman, medyo manipis nga lang, kala ko makapal siya gaya sa ordinary jogger pero ok lang mas mura at mapapakinabangan parin, salamat seller!!!",4
good the product are good..all though i haven't try..pero seller bakit mali ang isang size?.. sana e.check nmn mabuti bago e.deliver or mark if not available ... shopee..may mga rough attitude yung driver nyo....,1
ang layo sa variation ng order ko 2l ang order ko 1l lang pinadala hindi sumusunod sa variation memah padala lang ano!!??? mali mali pa hayst!!! hassle mag balik noh!!!! dapat sa ssunod sumunod kayo sa order ng customer. kapag wala magsabi kayo!!!!!! pala desisyon naman kayo.,1
good ang ganda niya as in kaso yung box sira sira nung dumating kala ko nga nasira na yung laman sa loob also yung isa walang charger plus yung white mahina siya compare sa pink na order ko pero overall goods naman ,4
thank you ang ganda po,3
ang ganda nung item thank you,3
"thank you seller, i received my order in a good condition ,sulit talaga at super satisfied po ako, legit",3
well packed. manipis lang ung bra.,4
same color received at walang straw ang isang tumbler.,4
"it's super smooth but it's not that matte pero sobrang ganda niya sa lips i really recommend this product, i'm planning to buy another shade. <3 ps. the video is not related.",3
hindi sya fast charger,2
dito ako umorder since shopee mall. yung product mukhang hindi legit. yung smoke removal naging smoke ermoval,1
ang ganda ganda ng slippers at kasyang kasya sya sa'kin. ang ganda ganda ng quality ng slippers! thank you kay seller at kay kuya rider na nag deliver!!!,3
very poor dalawa order ko pareho sira di responsive si seller,1
"kita yung wires doon sa dulong part, tho nag charge naman siya",2
ang ganda nya po subra,3
02/23/23 wahhhhhh one of the best that i've purchased here in shopee. sa school pa lang binuksan ko na hahaha. thank you so much seller. will surely order again. god bless,3
"i love this hotel for their very unique idea of providing a pitcher and glasses in each room then a water dispenser in each floor instead of giving water bottles because i am one who also supports ""ayoko ng plastic"". ",3
"hi, as u can see po i ordered pink earphone and a pink cutter. also a flexible fan. but to my disappointment, mali na ang kulay, hindi pa tugma sa description. yung cutter hindi nag ssteady. yung fan hindi nabebend, yung earphone imbis na pink, naging blue.",1
"for the shoes they deliver maganda siya, pero still mali pa rin ang nadeliver. na disappoint ako. ok naman ang shoes na nadeliver even though its not my order, pero kasi hindi yun ang inorder ko kaya bakit nagiba. ang sabi na confused yung packer kaya namali,naisip ko din yan",1
maganda naman siya kaso di lang nasunod yung color. ibang color dumating hindi black. blue orange. pero ok lang nagagamit parin naman po. thank you,4
i bought 3 earphones ni isa hindi man lang nagana yung mic! i tried to the other devices and still hindi parin nagana!,1
maganda sana tela pero ang sabi xxl nung sinukat namin kasya lang s 11 yers old na bata ang magsusuot sana 36 y/o. ,4
maganda sya kaso manipis tela maganda pag dark color pero pag mga white ganern light nakikita yung pads nya pede yung brallete sa mga payatot like me hahahahhahaha kung order kayo mas maganda darker color kasi dikita pads yun lang wmamwmaa,4
"poor i followed the instruction written on the box.. almost 30 minutes na nga nakababad yung filter with essential oil, kaso defective talaga ang product na binigay nyo. working lang yung ilaw..",1
verry good sana may pa freebies kahit konti,4
maganda at tama lng ang size thank you very much seller at delivery man at 7ang lazada 5 star,3
? 2nd order ko na to. nasira kasi kaagad ung 1 kong binili. mabigat din ung payong siguro dahil 10 ribs sya ok naman for its price. mabilis din ang delivery.,4
